,athlete_id,athlete,country_noc,total_medaille
108303,110097,Kjetil Jansrud,NOR,5
37373,37676,Kathrin Boron,GER,5
51100,51468,Greg Louganis,USA,5
119871,122364,Sun Wenyan,CHN,5
114188,116134,Nataliya Ishchenko,RUS,5
124749,127665,Iivo Niskanen,FIN,5
33070,33327,Ryoko Tamura,JPN,5
81012,82229,Christa Rothenburger,GDR,5
94586,95937,Matti Nykänen,FIN,5
82296,83518,Marco Albarello,ITA,5
114647,116612,Saúl Craviotto,ESP,5
51061,51429,Duke Kahanamoku,USA,5
34567,34843,András Balczó,HUN,5
50646,51014,Janet Evans,USA,5
100386,101869,André Lange,GER,5
20814,20963,Galina Gorokhova,URS,5
458,459,Julien Brulé,FRA,5
78432,79030,Mel Sheppard,USA,5
88894,90189,Ronny Rauhe,GER,5
61720,62180,Torben Grael,BRA,5
43885,44233,Fredric Landelius,SWE,5
50034,50401,Anders Holmertz,SWE,5
91248,92558,Katherine Grainger,GBR,5
10374,10430,Ian Ferguson,NZL,5
35771,36061,Lesley Thompson-Willie,CAN,5
114091,116031,Chen Ruolin,CHN,5
124665,127580,Wu Dajing,CHN,5
50750,51118,Mary T. Meagher,USA,5
48347,48709,Miho Takeda,JPN,5
30339,30579,Koji Gushiken,JPN,5
41878,42206,Achille Paroche,FRA,5
77492,78090,Irv Baxter,USA,5
84981,86236,Yevgeny Grishin,URS,5
21760,21917,Jean-François Lamour,FRA,5
45800,46156,Xiong Ni,CHN,5
48341,48703,Miya Tachibana,JPN,5
117628,119791,Park Seung-Hui,KOR,5
23411,23596,Aleksandr Romankov,URS,5
47101,47460,Ines Diers,GDR,5
80318,81534,Alevtina Kolchina,URS,5
28401,28619,Erzsébet Gulyás-Köteles,HUN,5
88978,90273,İnna Osipenko-Radomska,AZE,5
94080,95428,Juha Mieto,FIN,5
98834,100218,Yang Yang (A),CHN,5
105438,107141,Cătălina Ponor,ROU,5
110686,112552,Sofya Velikaya,ROC,5
103627,105257,David Cal,ESP,5
114128,116070,Qin Kai,CHN,5
21069,21218,Paul Anspach,BEL,5
39220,39531,Viorica Susanu,ROU,5
21787,21944,Alexandre Lippmann,FRA,5
10380,10436,Paul MacDonald,NZL,5
110461,112322,Mel Schlanger,AUS,5
